,partidaId,mandanteId,visitanteId,placarMandante,placarVisitante,publico,vencedor,rodada
260,4236601201,67067627,2976050151,2,1,"15,397",1,28
261,2138094871,3657292249,3131217581,2,1,"7,613",1,27
262,146877493,546424345,852822218,2,2,"5,864",0,27
263,3677207578,3209350440,3598766679,3,1,"36,439",1,27
264,456267063,3584964355,67067627,0,1,"7,851",-1,27
265,1511511909,1110161204,1596141233,1,0,"17,606",1,27
266,4052366137,4060423562,2213895614,1,2,"8,952",-1,27
267,31866753,871981024,3974523768,1,2,"15,638",-1,27
268,3792275321,2976050151,1898730127,1,1,"13,892",0,27
269,1285836854,1670992046,2228842524,1,1,"38,629",0,27
270,660945198,2883380601,360415214,2,2,"25,234",0,27
271,3529596860,2213895614,3657292249,1,0,"31,406",1,28
272,3816828383,1596141233,546424345,2,1,"26,833",1,28
273,2616879101,3974523768,1110161204,1,1,"20,273",0,28
274,2974530818,3131217581,1670992046,0,1,"10,484",-1,28
275,3899458217,2228842524,4060423562,1,0,"18,006",1,28
276,1331443070,852822218,2883380601,1,3,"12,619",-1,28
277,2758478293,360415214,3209350440,2,0,"23,413",1,28
278,2396543412,3598766679,3584964355,0,1,"10,814",-1,28
279,611132409,1898730127,871981024,2,2,"19,007",0,28
280,1575702454,3598766679,67067627,1,0,"6,470",1,29
281,3771604615,852822218,2213895614,0,1,"9,046",-1,29
282,4256287162,1110161204,3131217581,2,3,"11,927",-1,29
283,3328562048,4060423562,3657292249,1,1,"5,156",0,29
284,2822022716,2228842524,1596141233,3,1,"22,999",1,29
285,2790002868,3209350440,3584964355,0,0,"40,008",0,29
286,1880807144,871981024,546424345,2,3,"7,741",-1,29
287,2558081115,2883380601,2976050151,2,0,"19,976",1,29
288,2215097162,3974523768,1898730127,1,1,"14,802",0,29
289,4178996432,1670992046,360415214,4,1,"8,282",1,29
290,958528282,2213895614,3598766679,1,1,"30,351",0,30
291,4211083123,360415214,871981024,2,1,"31,185",1,30
292,3149682363,1596141233,1670992046,2,0,"32,915",1,30
293,1476546614,3584964355,2883380601,1,3,"16,238",-1,30
294,1731848098,1898730127,852822218,1,0,"4,245",1,30
295,2563376969,546424345,3974523768,2,1,"10,407",1,30
296,927156275,67067627,1110161204,1,3,"35,921",-1,30
297,1639260664,3131217581,2228842524,2,0,"10,010",1,30
298,3100057972,2976050151,4060423562,1,2,"4,009",-1,30
299,3803188543,3657292249,3209350440,2,1,"8,466",1,30
300,469920595,1596141233,1898730127,2,1,"40,004",1,31
301,2197741001,1670992046,2213895614,0,0,"24,813",0,31
302,1809875470,546424345,3131217581,0,0,"9,774",0,31
303,4005231137,1110161204,3657292249,0,0,"17,086",0,31
304,1460160318,3974523768,3598766679,3,4,"8,856",-1,31
305,1888623021,871981024,852822218,1,1,"10,615",0,31
306,1014971561,2228842524,360415214,1,1,"12,841",0,31
307,2415825069,2976050151,3209350440,1,0,"13,121",1,31
